stage,theta_id,balance_loss,balance_score,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d180_reach_d5,d180_reach_d10,d180_reach_d15,d180_has_A,d180_has_S,d180_sink_ratio,d180_p99_p50,d180_drop7,d180_mean_bonus,d180_p99_bonus
surrogate_refined,10000153,0.30241555,0.7678041,1080.8469,0.9466886,799.6752,1.4696187,1.0947856,156.59102,0.026082655,0.012788521,0.0023653037,7.434854e-05,1.4324841,0.90201265,1.0924474,0.11602329,0.22938155,0.64735174,0.61899745,0.50156856,0.043074325,0.0,0.03161197,0.0,0.85464287,9.29421,0.28535232,0.0450576,0.24368313
surrogate_refined,10000060,0.31584138,0.75997,1029.1001,0.8387189,789.61334,1.400656,0.8512428,151.62062,0.03468801,0.012954393,0.0013159339,0.00020864146,0.8194603,0.8746524,0.76314294,0.09420038,0.21988858,0.430686,0.8785171,0.5030164,0.0378861,0.0,0.050072394,0.0,0.8530159,8.155278,0.3011583,0.040415697,0.23882656
surrogate_refined,10000010,0.31678048,0.759428,1134.4563,0.8836144,692.6612,1.5315638,1.1039114,154.15279,0.044191025,0.008752172,0.0011462313,0.00068309513,1.1789281,0.8720026,1.0825222,0.098927684,0.2649383,0.6101763,0.5664823,0.49794883,0.03535232,0.0,0.14273648,0.00012065637,0.84929407,11.555452,0.33590734,0.045987286,0.32851878
surrogate_refined,10000141,0.32991415,0.75192827,917.4331,1.1548121,789.45,1.4871688,0.788903,157.55112,0.019411106,0.009016791,0.00089182984,0.00030394897,1.219906,0.8097661,1.0271902,0.11352165,0.40685558,0.4616164,0.55849296,0.5019305,0.032577224,0.0,0.08566602,0.0,0.84500253,10.937161,0.2596525,0.042517424,0.2668082
surrogate_refined,10000006,0.3312808,0.75115633,939.90344,1.2780347,784.6468,1.5134592,1.0389867,153.9093,0.042224996,0.005970778,0.0011169075,0.0005313975,0.69772255,0.982973,1.0947559,0.14285725,0.2201339,0.51698685,0.712324,0.50639474,0.037886098,0.0,0.15962839,0.00024131274,0.8588044,10.912037,0.410111,0.052651048,0.3637887
surrogate_refined,10000005,0.33369747,0.74979526,1082.2314,1.3254836,774.8965,1.5276618,1.0902913,192.18156,0.044600315,0.013936669,0.0028877403,0.0005514034,0.5960803,0.95082617,1.0464957,0.09341755,0.270999,0.60801804,0.81755996,0.5036197,0.035714287,0.0,0.2195946,0.0024131273,0.8604959,11.813437,0.47333497,0.06387557,0.3943746
surrogate_refined,10000039,0.33680078,0.7480546,1033.5953,1.290806,703.5022,1.5979372,1.0772464,162.81915,0.031114144,0.006554118,0.0022452534,0.00019680726,1.5341063,0.911955,1.2152895,0.09064652,0.38853204,0.60503227,0.6837026,0.50180984,0.03125,0.0,0.082528956,0.0,0.85753745,14.606759,0.3488176,0.052221775,0.27410948
surrogate_refined,10000003,0.33791703,0.74743044,926.92065,1.4369903,740.16394,1.4993074,0.87085986,156.0077,0.011377475,0.010494955,0.0032246117,0.00048282472,0.70527935,0.9573642,0.90099525,0.11463946,0.37161785,0.5832298,0.7825607,0.5155647,0.03740348,0.0,0.21247587,0.0015685328,0.84980243,10.630034,0.26978764,0.060654335,0.40369454
surrogate_refined,10000187,0.34622136,0.7428199,1142.0518,1.3575897,769.6896,1.5582737,0.96228856,166.44995,0.03007184,0.009843369,0.0025726538,0.0005915643,0.5041118,1.1982733,1.1737493,0.09566795,0.404683,0.35744092,0.7336688,0.49517375,0.029560812,0.0,0.23214285,0.0030164092,0.8430194,14.293396,0.38187742,0.06368929,0.43305117
surrogate_refined,10000000,0.35640097,0.73724514,1104.4258,1.1700641,719.9963,1.5299592,1.1566552,164.53453,0.0427581,0.005778119,0.003925496,0.0007300947,0.81544536,1.184311,1.0057373,0.093142815,0.30832243,0.6256564,0.77639544,0.49348456,0.033783782,0.0,0.24348456,0.0025337837,0.86855304,12.423624,0.40166503,0.06167517,0.41485077
surrogate_refined,10000191,0.36431602,0.73296803,1099.9048,1.2166421,719.7833,1.5855485,1.1652979,192.62814,0.029787732,0.014851093,0.0038090008,7.6767814e-05,1.2405674,0.8532194,1.1737052,0.16282916,0.19265081,0.4440986,0.6200776,0.50180984,0.020873552,0.0,0.10195464,0.0,0.8414132,10.626661,0.3797056,0.05786484,0.27388734
surrogate_refined,10000391,0.36798286,0.7310033,1071.188,0.8646081,745.44574,1.4605563,1.0150306,157.109,0.022816237,0.012723204,0.0016424006,0.0006516525,1.6656778,0.86211073,0.9479896,0.11215593,0.26059726,0.5193694,0.8461994,0.5048263,0.03450772,0.0,0.12656854,0.00012065637,0.8796526,8.755427,0.24987935,0.04393659,0.29798555
surrogate_refined,10000240,0.36804125,0.7309721,1109.8975,1.4342725,756.37134,1.5876536,1.1810803,162.40895,0.02872955,0.012445789,0.0035241472,0.0006799927,0.54773015,1.1949613,0.9771924,0.12573011,0.35782093,0.4501069,0.56623125,0.49276063,0.02159749,0.0,0.30489868,0.005912162,0.8486112,15.07501,0.41807434,0.07223418,0.44398597
surrogate_refined,10000138,0.36815754,0.73091,830.99896,1.0902486,763.06165,1.4008409,0.9474795,155.10013,0.043949656,0.010874009,0.0027797401,0.00035429178,0.6215284,1.0626627,1.1298231,0.102277026,0.21380833,0.5270213,0.661586,0.49203667,0.03354247,0.0,0.132722,0.00024131274,0.87405807,8.688688,0.4054054,0.051781364,0.29916918
surrogate_refined,10000004,0.36868456,0.73062855,920.86536,1.4105304,622.77026,1.5753345,1.0405358,179.7793,0.025054324,0.0083490275,0.0038922227,0.0004029825,0.77375305,1.1525,1.001333,0.09973633,0.23287015,0.74273026,0.6220209,0.50953186,0.021235522,0.0,0.22031853,0.00096525095,0.8481936,10.287763,0.3700531,0.06094726,0.39492422
surrogate_refined,10000162,0.36924013,0.7303321,1131.3424,1.1980194,786.19727,1.5767093,1.1986159,179.10431,0.0196156,0.011946438,0.0015135151,0.00038338572,1.4470885,0.9583696,1.2381444,0.102599084,0.3163075,0.5183599,0.82976085,0.511945,0.03185328,0.0,0.119570464,0.00012065637,0.83334446,11.847333,0.28921333,0.05118482,0.32747114
surrogate_refined,10000333,0.36971372,0.73007953,779.63257,1.4287981,781.08105,1.5861775,1.1881478,169.37617,0.02510804,0.0035906828,0.0015228244,0.00014976124,1.1407169,0.90164334,1.0521482,0.24109343,0.2653418,0.4814791,0.76317227,0.49469113,0.019787645,0.0,0.05900096,0.0,0.8557101,11.576437,0.30405408,0.0444693,0.24762803
surrogate_refined,10000192,0.36978385,0.73004216,856.2145,0.91241896,797.7274,1.4176909,0.9590183,204.88602,0.028268185,0.0060376953,0.0022307865,0.00030970896,1.6164887,0.7862678,0.764996,0.10151197,0.18035926,0.58485335,0.90185845,0.5057915,0.021838803,0.0,0.0682915,0.0,0.85853195,7.62597,0.26387548,0.03603098,0.23338524
surrogate_refined,10000009,0.36996606,0.7299451,958.5555,1.3765886,771.72906,1.6069796,1.1627431,175.96332,0.017670294,0.006670019,0.0011491575,0.00071117433,0.7654925,1.086898,0.73881936,0.19916973,0.35925043,0.62549573,0.8702713,0.49517375,0.01592664,0.0,0.214889,0.0014478764,0.84991324,11.887093,0.27557912,0.051739007,0.39696914
surrogate_refined,10000322,0.37015507,0.7298444,1114.4346,1.4585402,729.4686,1.5939115,0.82706237,159.48466,0.03685335,0.0033472476,0.003822433,0.0001072399,1.916864,0.92214185,1.1703237,0.08214469,0.31022257,0.42831525,0.60381866,0.5102558,0.020511582,0.0,0.10666023,0.0,0.85061496,14.249602,0.4054054,0.059683803,0.30683917
surrogate_refined,10000058,0.37079385,0.7295043,930.68567,1.2405568,600.8312,1.6013553,1.0808457,155.41737,0.026427776,0.0063421438,0.003441786,0.00053731876,1.0214567,0.7990469,1.1494975,0.10514716,0.33322465,0.5616238,0.5635572,0.5113417,0.022804054,0.0,0.17434846,0.0003619691,0.8465863,13.142947,0.31925672,0.056839433,0.3823254
surrogate_refined,10000007,0.3710283,0.72937953,1001.25964,1.4740702,789.60547,1.5553993,0.9358128,188.37045,0.02023813,0.012460437,0.0027491522,0.0006786353,0.6615917,0.8473396,1.117964,0.23673095,0.2656855,0.5788586,0.90395886,0.49867278,0.02787162,0.0,0.25458494,0.0016891892,0.87536865,10.590881,0.36160713,0.064884834,0.42382732
surrogate_refined,10000340,0.37434912,0.72761714,1098.6409,0.9116155,579.1118,1.6177934,1.194417,155.23225,0.04470317,0.004082598,0.0023842852,0.00040185222,1.0894301,0.75421304,1.064613,0.09026866,0.37668204,0.6784459,0.9033625,0.51278955,0.03125,0.0,0.09145753,0.0,0.86793005,13.516936,0.33144304,0.045055464,0.27393714
surrogate_refined,10000383,0.3762722,0.72660047,1017.7262,1.089587,743.8254,1.5176178,0.8727669,202.9677,0.042848274,0.009224092,0.00090801297,0.00041217532,1.4912106,1.1399122,1.0679082,0.10636243,0.24571636,0.35482714,0.5948479,0.49746624,0.0136341695,0.0,0.11703668,0.0,0.8535268,8.65478,0.3846525,0.045186497,0.27804184
surrogate_refined,10000148,0.376606,0.7264243,608.01965,1.3723847,773.5138,1.3954661,1.1412883,170.28687,0.017447922,0.009412484,0.0033882684,0.0006786116,0.61794126,0.8705761,1.1633942,0.15277824,0.21141997,0.64599067,0.57389337,0.51339287,0.031008689,0.0,0.24300194,0.0012065637,0.868228,7.507944,0.30900097,0.055661555,0.3582422
surrogate_refined,10000411,0.3775378,0.72593296,1144.2966,1.1348692,755.83954,1.553388,1.049586,197.19193,0.03641022,0.012732938,0.0010886868,0.00032735887,1.0930938,1.1760478,1.1076448,0.106614955,0.3116121,0.3649714,0.7904865,0.50953186,0.018581081,0.0,0.10859074,0.00024131274,0.85328454,10.4918995,0.38223937,0.05030601,0.2895466
initial_sobol,6143,0.3785086,0.72542167,1198.4275,1.4545976,748.0189,1.6548542,0.9713273,202.44948,0.0444808,0.004895632,0.0015119244,0.0001993933,0.9739742,1.2461816,0.76281303,0.15852357,0.27939454,0.37628454,0.6818008,0.49927604,0.010014478,0.0,0.10014479,0.00012065637,0.85139793,13.130366,0.45366794,0.05440403,0.29968813
surrogate_refined,10000026,0.37894833,0.72519034,1167.0944,1.4931502,795.2787,1.504175,0.7544763,172.84131,0.040844247,0.011734378,0.003916294,0.00028330385,0.5469516,0.79816896,0.87551874,0.0808857,0.3258045,0.7096533,0.6709272,0.53535235,0.04657336,0.0,0.18315637,0.00060328183,0.8664514,13.8779745,0.48515928,0.06827895,0.39668906
surrogate_refined,10000105,0.37914702,0.72508585,681.57654,1.4593761,702.35706,1.5072076,0.9425533,158.68735,0.03233838,0.004308012,0.0011677921,0.00032355497,0.59101164,0.8747714,1.0690637,0.11337662,0.34880635,0.6274353,0.9056103,0.5028958,0.036800195,0.0,0.115468144,0.00012065637,0.89357066,10.798672,0.37427604,0.046734683,0.2994129
initial_sobol,4095,0.37956277,0.72486734,1198.0057,1.3169615,671.18054,1.6039268,0.7567025,171.87779,0.03731121,0.0127078835,0.000916563,0.00053567806,1.1645497,0.9705453,0.97073126,0.15172875,0.18334535,0.7023437,0.8941278,0.5025338,0.021718146,0.0,0.18243243,0.00048262547,0.86919373,10.65608,0.42181468,0.058280043,0.39338323
